1227?,佳格?
1319?,東陽?
1434?,福懋?
1477?,聚陽?
1504?,東元?
1536?,和大?
1589?,F-永冠?
1590?,F-亞德?
1605?,華新?
1704?,榮化?
1717?,長興?
1722?,台肥?
1723?,中碳?
1789?,神隆?
1802?,台玻?
2015?,豐興?
2049?,上銀?
2059?,川湖?
2101?,南港?
2106?,建大?
2201?,裕隆?
2204?,中華?
2206?,三陽?
2231?,為升?
2313?,華通?
2324?,仁寶?
2327?,國巨?
2344?,華邦電?
2347?,聯強?
2353?,宏碁?
2355?,敬鵬?
2356?,英業達?
2360?,致茂?
2362?,藍天?
2376?,技嘉?
2377?,微星?
2379?,瑞昱?
2385?,群光?
2392?,正崴?
2448?,晶電?
2449?,京元電?
2451?,創見?
2498?,宏達電?
2501?,國建?
2542?,興富發?
2603?,長榮?
2606?,裕民?
2609?,陽明?
2610?,華航?
2615?,萬海?
2618?,長榮航?
2707?,晶華?
2723?,F-美食?
2809?,京城銀?
2812?,台中銀?
2834?,臺企銀?
2845?,遠東銀?
2847?,大眾銀?
2849?,安泰銀?
2867?,三商壽?
2888?,新光金?
2903?,遠百?
2915?,潤泰全?
3034?,聯詠?
3037?,欣興?
3044?,健鼎?
3189?,景碩?
3231?,緯創?
3673?,F-TPK?
3682?,亞太電?
3702?,大聯大?
4137?,F-麗豐?
4958?,F-臻鼎?
5264?,F-鎧勝?
5522?,遠雄?
5871?,F-中租?
6005?,群益證?
6176?,瑞儀?
6239?,力成?
6269?,台郡?
6285?,啟碁?
6414?,樺漢?
6415?,F-矽力?
6452?,F-康友?
6456?,F-GIS?
8150?,南茂?
8454?,富邦媒?
8464?,億豐?
9907?,統一實?
9910?,豐泰?
9914?,美利達?
9917?,中保?
9921?,巨大?
9933?,中鼎?
9938?,百和?
9945?,潤泰新?
R5264?,?
