"107年10月08日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,885.79","-","76.90","-0.64",
"發行量加權股價指數","10,455.93","-","61.19","-0.58",
"臺灣公司治理100指數","6,044.57","-","43.86","-0.72",
"臺灣50指數","8,014.67","-","69.35","-0.86",
"臺灣中型100指數","7,343.96","-","46.35","-0.63",
"臺灣資訊科技指數","10,108.10","-","203.38","-1.97",
"臺灣發達指數","8,358.63","-","4.58","-0.05",
"臺灣高股息指數","5,788.66","-","19.60","-0.34",
"臺灣永續指數","5,174.77","-","44.21","-0.85",
"臺灣就業99指數","6,308.53","-","6.55","-0.10",
"臺灣高薪100指數","5,881.58","-","7.16","-0.12",
"臺灣低波動高股息指數","1,629.01","+","0.27","0.02",
"未含金融保險股指數","8,746.55","-","66.08","-0.75",
"未含電子股指數","15,086.16","+","27.07","0.18",
"未含金融電子股指數","12,761.57","+","8.97","0.07",
"小型股300指數","5,993.51","-","16.23","-0.27",
"漲升股利150指數","5,964.25","-","20.50","-0.34",
"漲升股利100指數","5,992.58","-","23.25","-0.39",
"藍籌30指數","5,497.23","-","33.46","-0.60",
"工業菁英30指數","5,879.98","-","22.82","-0.39",
"電子菁英30指數","5,306.93","-","57.60","-1.07",
"低波動精選30指數","5,897.26","-","20.90","-0.35",
"低貝塔100指數","5,361.89","+","2.64","0.05",
"中小型精選50指數","5,177.58","-","61.14","-1.17",
"中小型A級動能50指數","5,664.39","-","96.60","-1.68",
"特選高息低波指數","4,943.72","-","22.94","-0.46",
"臺灣生技指數","5,147.77","-","7.79","-0.15",
"特選內需高收益指數","5,326.14","-","7.61","-0.14",
"臺灣中小型公司治理指數","4,817.30","-","57.75","-1.18",
"臺灣IPO指數","4,830.57","-","26.19","-0.54",
"價值投資指數","5,370.38","-","0.73","-0.01",
"藍籌30反向一倍指數","8,881.73","+","53.41","0.60",
"工業菁英30反向一倍指數","9,715.29","+","37.41","0.39",
"水泥窯製類指數","545.20","-","2.95","-0.54",
"塑膠化工類指數","968.18","+","3.38","0.35",
"機電類指數","2,315.80","-","29.93","-1.28",
"水泥類指數","144.96","-","1.06","-0.73",
"食品類指數","1,718.52","+","0.45","0.03",
"塑膠類指數","311.57","+","1.29","0.42",
"紡織纖維類指數","559.25","+","6.59","1.19",
"電機機械類指數","165.85","-","2.12","-1.26",
"電器電纜類指數","51.66","-","0.35","-0.67",
"化學生技醫療類指數","103.78","+","0.17","0.16",
"化學類指數","110.42","+","0.14","0.13",
"生技醫療類指數","67.29","+","0.14","0.21",
"玻璃陶瓷類指數","41.34","+","0.29","0.71",
"造紙類指數","207.64","-","1.80","-0.86",
"鋼鐵類指數","112.03","-","0.02","-0.02",
"橡膠類指數","262.75","+","0.60","0.23",
"汽車類指數","204.91","-","0.50","-0.24",
"電子類指數","411.93","-","5.34","-1.28",
"半導體類指數","162.23","-","3.71","-2.24",
"電腦及週邊設備類指數","88.09","+","0.06","0.07",
"光電類指數","34.82","+","0.16","0.46",
"通信網路類指數","118.44","-","0.47","-0.40",
"電子零組件類指數","86.07","-","1.17","-1.34",
"電子通路類指數","110.59","-","0.22","-0.20",
"資訊服務類指數","89.43","-","0.10","-0.11",
"其他電子類指數","83.64","-","0.07","-0.08",
"建材營造類指數","269.94","+","0.71","0.26",
"航運類指數","63.16","+","0.17","0.27",
"觀光類指數","105.55","+","1.00","0.96",
"金融保險類指數","1,284.21","+","5.65","0.44",
"貿易百貨類指數","264.27","+","1.55","0.59",
"油電燃氣類指數","166.95","+","0.57","0.34",
"其他類指數","237.70","-","2.37","-0.99",
"臺指日報酬兩倍指數","15,625.56","-","183.96","-1.16",
"臺指日報酬反向一倍指數","7,469.84","+","43.21","0.58",
"電子類兩倍槓桿指數","11,241.04","-","295.27","-2.56",
"電子類反向指數","8,393.72","+","106.06","1.28",
"金融類日報酬兩倍指數","20,315.40","+","177.98","0.88",
"金融類日報酬反向一倍指數","6,620.70","-","29.39","-0.44",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","14,295.53","-","92.50","-0.64",
"發行量加權股價報酬指數","18,652.78","-","109.15","-0.58",
"臺灣公司治理100報酬指數","7,122.87","-","51.68","-0.72",
"臺灣50報酬指數","14,455.21","-","125.09","-0.86",
"臺灣中型100報酬指數","12,265.89","-","77.43","-0.63",
"臺灣資訊科技報酬指數","17,282.90","-","347.73","-1.97",
"臺灣發達報酬指數","13,560.06","-","7.43","-0.05",
"臺灣高股息報酬指數","12,114.67","-","41.02","-0.34",
"臺灣永續報酬指數","5,606.88","-","47.90","-0.85",
"臺灣就業99報酬指數","8,374.28","-","8.69","-0.10",
"臺灣高薪100報酬指數","7,042.43","-","8.57","-0.12",
"臺灣低波動高股息報酬指數","3,867.24","+","0.64","0.02",
"未含金融電子股報酬指數","23,009.61","+","16.17","0.07",
"小型股300報酬指數","6,781.25","-","18.36","-0.27",
"漲升股利150報酬指數","6,735.48","-","23.15","-0.34",
"漲升股利100報酬指數","6,769.53","-","26.26","-0.39",
"藍籌 30 報酬指數","5,964.20","-","36.30","-0.60",
"工業菁英 30 報酬指數","6,386.88","-","24.79","-0.39",
"電子菁英 30 報酬指數","5,713.44","-","62.01","-1.07",
"低波動精選 30 報酬指數","6,450.85","-","22.87","-0.35",
"低貝塔 100 報酬指數","5,859.40","+","2.89","0.05",
"中小型精選50報酬指數","5,699.76","-","67.30","-1.17",
"中小型A級動能50報酬指數","5,966.79","-","101.74","-1.68",
"特選高息低波報酬指數","5,444.90","-","25.28","-0.46",
"臺灣生技報酬指數","5,302.05","-","8.03","-0.15",
"特選內需高收益報酬指數","5,643.84","-","8.06","-0.14",
"臺灣中小型公司治理報酬指數","5,271.47","-","63.20","-1.18",
"臺灣IPO報酬指數","4,948.85","-","26.84","-0.54",
"價值投資報酬指數","5,681.17","-","0.77","-0.01",
"水泥類報酬指數","226.57","-","1.66","-0.73",
"食品類報酬指數","2,315.06","+","0.61","0.03",
"塑膠類報酬指數","464.01","+","1.92","0.42",
"紡織纖維類報酬指數","785.70","+","9.26","1.19",
"電機機械類報酬指數","225.87","-","2.89","-1.26",
"電器電纜類報酬指數","65.76","-","0.44","-0.66",
"化學生技醫療類報酬指數","143.98","+","0.23","0.16",
"化學類報酬指數","160.26","+","0.21","0.13",
"生技醫療類報酬指數","86.45","+","0.17","0.20",
"玻璃陶瓷類報酬指數","46.14","+","0.32","0.70",
"造紙類報酬指數","278.32","-","2.41","-0.86",
"鋼鐵類報酬指數","159.77","-","0.02","-0.01",
"橡膠類報酬指數","370.57","+","0.84","0.23",
"汽車類報酬指數","287.17","-","0.71","-0.25",
"電子類報酬指數","671.22","-","8.71","-1.28",
"半導體類報酬指數","251.82","-","5.76","-2.24",
"電腦及週邊設備類報酬指數","155.69","+","0.11","0.07",
"光電類報酬指數","45.68","+","0.21","0.46",
"通信網路類報酬指數","215.23","-","0.84","-0.39",
"電子零組件類報酬指數","138.16","-","1.87","-1.34",
"電子通路類報酬指數","206.09","-","0.41","-0.20",
"資訊服務類報酬指數","168.97","-","0.18","-0.11",
